Row,Video,Time,Behaviour,Description
10,2,01:21:00,Maladaptive - Rigid / dogmatic / demanding,[REDACTED]
11,2,01:37:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
12,2,01:40:00,Citizen Behaviour - Non-compliant (physical),[REDACTED]
13,2,01:43:00,Maladaptive - Sarcastic / punitive / attacking,[REDACTED]
14,2,01:44:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
15,2,01:45:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
16,2,01:47:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
17,2,01:48:00,"Citizen Behaviour - De-escalation (e.g., apology, reassurance)",[REDACTED]
18,2,01:51:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
19,2,01:56:00,Maladaptive - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
20,2,01:57:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
21,2,01:59:00,Maladaptive - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
22,2,02:44:00,Citizen Behaviour - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
23,2,02:48:00,Maladaptive - Disengaged / formulaic / conflict avoidant,[REDACTED]
24,2,02:50:00,Citizen Behaviour - Cooperative ,[REDACTED]
25,2,02:57:00,"Procedural Adherence - Legal power cited (e.g., Section 1 of PACE)",[REDACTED]
26,2,02:57:00,Citizen Behaviour - Search conducted ,[REDACTED]
27,2,02:58:00,Procedural Adherence - Object of search stated,[REDACTED]
28,2,03:08:00,Citizen Behaviour - Hesitant,[REDACTED]
29,2,03:29:00,Trustworthy Motives - Offers help / follows up on issue,[REDACTED]
30,2,04:08:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
31,2,04:16:00,Dignity & Respect - Uses polite language (please/thank you),[REDACTED]
32,2,04:26:00,Participation - Officer invites citizen to speak / tell their side,[REDACTED]
33,2,04:38:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
34,2,05:24:00,Maladaptive - Rigid / dogmatic / demanding,[REDACTED]
35,2,05:43:00,Procedural Adherence - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
36,2,06:20:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
37,2,07:59:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
38,2,08:04:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
1,3,00:45:00,Participation - Allows third parties to speak,[REDACTED]
2,3,00:46:00,Participation - Positively acknowledges citizens views,[REDACTED]
3,3,00:54:00,Citizen Behaviour - Cooperative ,[REDACTED]
4,3,01:06:00,Participation - Officer invites citizen to speak / tell their side,[REDACTED]
5,3,01:08:00,Citizen Behaviour - Cooperative ,[REDACTED]
6,3,01:13:00,Dignity & Respect - In S&S Handles citizens property/body respectfully,[REDACTED]
7,3,01:41:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
8,3,02:12:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
9,3,02:43:00,Citizen Behaviour - Cooperative ,[REDACTED]
10,3,02:51:00,"Procedural Adherence - Legal power cited (e.g., Section 1 of PACE)",[REDACTED]
11,3,02:51:00,Citizen Behaviour - Search conducted,[REDACTED]
12,3,02:52:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
13,3,02:52:00,Procedural Adherence - Object of search stated,[REDACTED]
14,3,02:53:00,Citizen Behaviour - Cooperative ,[REDACTED]
15,3,02:53:00,Procedural Adherence - Identity (name / badge number provided),[REDACTED]
16,3,02:54:00,Procedural Adherence - Station (officer based at) shared,[REDACTED]
17,3,03:08:00,Maladaptive - Patronising / parental / rescuing,[REDACTED]
18,3,03:13:00,Procedural Adherence - Grounds explained,[REDACTED]
19,3,03:32:00,Procedural Adherence - Face being detained is clearly communicated,[REDACTED]
20,3,03:27:00,Citizen Behaviour - Cooperative ,[REDACTED]
21,3,03:41:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
22,3,03:57:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
23,3,03:57:00,Participation - Checks understanding,[REDACTED]
24,3,04:11:00,Dignity & Respect - In S&S Handles citizens property/body respectfully,[REDACTED]
25,3,04:19:00,Procedural Adherence - Face being detained is clearly communicated,[REDACTED]
26,3,04:19:00,Fairness & Neutrality - Treats multiple citizens equally,[REDACTED]
27,3,04:20:00,Citizen Behaviour - Search conducted,[REDACTED]
28,3,04:20:00,"Procedural Adherence - Legal power cited (e.g., Section 1 of PACE)",[REDACTED]
29,3,04:21:00,Procedural Adherence - Object of search stated,[REDACTED]
30,3,04:24:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
31,3,04:25:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
32,3,04:30:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
33,3,04:35:00,Procedural Adherence - Grounds explained,[REDACTED]
34,3,04:36:00,Dignity & Respect - Uses polite language (please/thank you),[REDACTED]
35,3,04:36:00,Citizen Behaviour - Cooperative ,[REDACTED]
36,3,04:59:00,Procedural Adherence - Identity (name / badge number provided),[REDACTED]
37,3,05:01:00,Procedural Adherence - Station (officer based at) shared,[REDACTED]
38,3,05:06:00,"Procedural Adherence - Legal power cited (e.g., Section 1 of PACE)",[REDACTED]
39,3,05:12:00,Procedural Adherence - Object of search stated,[REDACTED]
40,3,05:14:00,Procedural Adherence - Entitlement to record of search mentioned,[REDACTED]
41,3,05:43:00,Participation - Officer invites citizen to speak / tell their side,[REDACTED]
42,3,05:44:00,Citizen Behaviour - Cooperative ,[REDACTED]
43,3,06:19:00,Maladaptive - Disengaged / formulaic / conflict avoidant,[REDACTED]
44,3,07:20:00,Trustworthy Motives - Shows empathy / concern,[REDACTED]
45,3,07:35:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
1,4,00:33:00,Maladaptive - Hesitant / uncertain / overly apologetic,[REDACTED]
2,4,00:33:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
3,4,00:34:00,Maladaptive - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
4,4,00:40:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
5,4,00:41:00,Maladaptive - Patronising / parental / rescuing,[REDACTED]
6,4,00:47:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
7,4,01:01:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
8,4,01:01:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
9,4,01:07:00,Participation - Officer invites citizen to speak / tell their side,[REDACTED]
10,4,01:14:00,PJT - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
11,4,01:14:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
12,4,01:17:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
13,4,01:24:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
14,4,01:27:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
15,4,01:27:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
16,4,01:30:00,Citizen Behaviour - Cooperative,[REDACTED]
17,4,01:31:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
18,4,01:33:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
19,4,01:42:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
20,4,01:45:00,Citizen Behaviour - Cooperative,[REDACTED]
21,4,01:46:00,Procedural Adherence - Identity (name / badge number provided),[REDACTED]
22,4,01:48:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
23,4,01:49:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
24,4,01:50:00,Citizen Behaviour - Non-compliant (physical),[REDACTED]
25,4,01:50:00,PJT - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
26,4,01:55:00,"Procedural Adherence - Legal power cited (e.g., Section 1 of PACE)",[REDACTED]
27,4,01:56:00,Procedural Adherence - Station (officer based at) shared,[REDACTED]
28,4,01:59:00,Procedural Adherence - Object of search stated,[REDACTED]
29,4,01:59:00,Citizen Behaviour - Non-compliant (physical),[REDACTED]
30,4,01:59:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
31,4,02:00:00,Maladaptive - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
32,4,02:00:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
33,4,02:04:00,Citizen Behaviour - Cooperative,[REDACTED]
34,4,02:07:00,Citizen Behaviour - Cooperative,[REDACTED]
35,4,02:11:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
36,4,02:18:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
37,4,02:20:00,Citizen Behaviour - Non-compliant (physical),[REDACTED]
38,4,02:26:00,Citizen Behaviour - Handcuffs used,[REDACTED]
39,4,02:29:00,Maladaptive - Patronising / parental / rescuing,[REDACTED]
40,4,02:33:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
41,4,02:36:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
42,4,02:39:00,Maladaptive - Disengaged / formulaic / conflict avoidant,[REDACTED]
43,4,02:40:00,Citizen Behaviour - Search conducted,[REDACTED]
44,4,02:43:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
45,4,02:47:00,Procedural Adherence - Entitlement to record of search mentioned,[REDACTED]
46,4,02:50:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
47,4,02:53:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
48,4,03:00:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
49,4,04:14:00,Citizen Behaviour - Citizen verbally threatens ,[REDACTED]
50,4,04:19:00,Maladaptive - Hesitant / uncertain / overly apologetic,[REDACTED]
51,4,05:02:00,Trustworthy Motives - Shows empathy / concern,[REDACTED]
1,5,02:39:00,Citizen Behaviour - Cooperative ,[REDACTED]
2,5,02:54:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
3,5,02:54:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
4,5,03:01:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
5,5,03:02:00,PJT - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
6,5,03:13:00,Dignity & Respect - Uses polite language (please/thank you),[REDACTED]
7,5,03:13:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
8,5,03:13:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
9,5,03:21:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
10,5,03:30:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
11,5,03:30:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
12,5,03:34:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
13,5,03:44:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
14,5,03:50:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
15,5,03:51:00,PJT - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
16,5,04:05:00,Participation - Positively acknowledges citizens views,[REDACTED]
17,5,04:09:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
18,5,04:09:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
19,5,04:16:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
20,5,04:16:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
21,5,04:23:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
22,5,04:26:00,Participation - Checks understanding,[REDACTED]
23,5,04:30:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
24,5,04:32:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
25,5,04:35:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
26,5,04:35:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
27,5,04:53:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
28,5,05:10:00,Dignity & Respect - Uses polite language (please/thank you),[REDACTED]
29,5,05:14:00,Citizen Behaviour - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
30,5,05:16:00,Participation - Positively acknowledges citizens views,[REDACTED]
31,5,05:19:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
32,5,05:21:00,Maladaptive - Hesitant / uncertain / overly apologetic,[REDACTED]
33,5,05:59:00,Participation - Positively acknowledges citizens views,[REDACTED]
34,5,06:00:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
35,5,06:00:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
36,5,06:00:00,Citizen Behaviour - Citizen verbally threatens,[REDACTED]
37,5,06:01:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
38,5,06:01:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
39,5,06:32:00,Dignity & Respect - Uses polite language (please/thank you),[REDACTED]
40,5,06:36:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
41,5,06:38:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
42,5,06:38:00,Citizen Behaviour - Citizen verbally threatens,[REDACTED]
43,5,06:59:00,Maladaptive - Rigid / dogmatic / demanding,[REDACTED]
44,5,07:00:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
45,5,07:00:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
46,5,07:06:00,Citizen Behaviour - Resistant (physical),[REDACTED]
47,5,07:06:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
48,5,07:26:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
49,5,07:26:00,Procedural Adherence - Proportionality - force level matches citizen resistance,[REDACTED]
50,5,07:26:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
51,5,08:00:00,Citizen Behaviour - Resistant (physical),[REDACTED]
52,5,08:15:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
53,5,08:45:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
54,5,08:49:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
55,5,09:00:00,Procedural Adherence - Necessary - verbal warning before force (unless immediate threat),[REDACTED]
56,5,09:00:00,"Citizen Behaviour - Citizen uses physical force (e.g., kicks, hits)",[REDACTED]
57,5,09:06:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
58,5,09:09:00,Maladaptive - Rigid / dogmatic / demanding,[REDACTED]
59,5,09:09:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
60,5,09:15:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
61,5,09:25:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
62,5,09:42:00,Citizen Behaviour - Handcuffs used,[REDACTED]
63,5,09:42:00,Citizen Behaviour - Arrest made,[REDACTED]
64,5,09:42:00,Procedural Adherence - Lawful - legal power (if applicable),[REDACTED]
65,5,09:51:00,"Citizen Behaviour - De-escalation (e.g., apology, reassurance)",[REDACTED]
67,5,10:00:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
68,5,10:10:00,Procedural Adherence - Stop force once compliance achieved,[REDACTED]
69,5,10:42:00,Maladaptive - Sarcastic / punitive / attacking,[REDACTED]
70,5,11:22:00,Procedural Adherence - Medical check offered / performed - checking citizen well-being,[REDACTED]
71,5,11:35:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
1,6,00:57:00,Dignity & Respect - Uses polite language (please/thank you),[REDACTED]
2,6,00:57:00,Citizen Behaviour - Cooperative,[REDACTED]
3,6,01:04:00,Dignity & Respect - Asks citizen how theyd like to be addressed,[REDACTED]
4,6,01:07:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
5,6,01:10:00,Citizen Behaviour - Non-compliant (physical),[REDACTED]
6,6,01:11:00,Citizen Behaviour - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
7,6,01:13:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
8,6,01:21:00,Participation - Checks understanding,[REDACTED]
9,6,01:24:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
10,6,01:27:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
11,6,01:40:00,Trustworthy Motives - Shows empathy / concern,[REDACTED]
12,6,01:42:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
13,6,01:49:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
14,6,01:57:00,PJT - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
15,6,02:12:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
16,6,02:18:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
17,6,02:22:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
18,6,02:22:00,Trustworthy Motives - Shows empathy / concern,[REDACTED]
19,6,02:23:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
20,6,02:39:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
21,6,02:42:00,Maladaptive - Hesitant / uncertain / overly apologetic,[REDACTED]
22,6,02:44:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
23,6,02:49:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
24,6,02:47:00,Dignity & Respect - Uses polite language (please/thank you),[REDACTED]
25,6,02:52:00,"Procedural Adherence - Justification stated - e.g., officer verbally explaining why force is needed",[REDACTED]
26,6,02:57:00,PJT - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
27,6,03:07:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
28,6,03:14:00,Participation - Checks understanding,[REDACTED]
29,6,03:17:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
30,6,03:19:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
31,6,03:20:00,PJT - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
32,6,03:22:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
33,6,03:28:00,Participation - Officer invites citizen to speak / tell their side,[REDACTED]
34,6,03:42:00,Trustworthy Motives - Shows empathy / concern,[REDACTED]
35,6,04:00:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
36,6,04:09:00,Procedural Adherence - Necessary - verbal warning before force (unless immediate threat),[REDACTED]
37,6,04:23:00,Maladaptive - Disengaged / formulaic / conflict avoidant,[REDACTED]
38,6,04:09:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
39,6,04:25:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
40,6,04:40:00,Trustworthy Motives - Asks safeguarding questions,[REDACTED]
41,6,04:48:00,Trustworthy Motives - Asks safeguarding questions,[REDACTED]
42,6,04:49:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
43,6,05:05:00,Trustworthy Motives - Offers help / follows up on issue,[REDACTED]
44,6,05:26:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
45,6,05:51:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
46,6,06:36:00,Trustworthy Motives - Offers help / follows up on issue,[REDACTED]
47,6,08:06:00,Participation - Answers questions or explains request rejections,[REDACTED]
48,6,08:24:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
49,6,09:07:00,Participation - Answers questions or explains request rejections,[REDACTED]
50,6,09:34:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
51,6,09:50:00,"Citizen Behaviour - De-escalation (e.g., apology, reassurance)",[REDACTED]
52,6,09:52:00,Participation - Answers questions or explains request rejections,[REDACTED]
53,6,11:03:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
54,6,11:27:00,Citizen Behaviour - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
55,6,11:29:00,PJT - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
56,6,11:36:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
57,6,12:23:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
58,6,12:43:00,Citizen Behaviour - Resistant (physical),[REDACTED]
59,6,12:44:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
60,6,12:50:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
61,6,12:56:00,Maladaptive - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
62,6,12:56:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
63,6,12:59:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
64,6,13:00:00,Procedural Adherence - Proportionality - force level matches citizen resistance,[REDACTED]
65,6,13:14:00,Citizen Behaviour - Handcuffs used,[REDACTED]
66,6,13:14:00,Citizen Behaviour - Arrest made,[REDACTED]
67,6,13:16:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
68,6,13:43:00,Fairness & Neutrality - Clearly explains reason for interaction (transparent),[REDACTED]
69,6,13:44:00,Procedural Adherence - Stop force once compliance achieved,[REDACTED]
70,6,13:46:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
71,6,13:53:00,"Procedural Adherence - Justification stated - e.g., officer verbally explaining why force is needed",[REDACTED]
72,6,14:17:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
73,6,14:18:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
74,6,14:51:00,Citizen Behaviour - Cooperative,[REDACTED]
75,6,15:22:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
76,6,15:26:00,Trustworthy Motives - Offers help / follows up on issue,[REDACTED]
77,6,15:40:00,Citizen Behaviour - Cooperative,[REDACTED]
78,6,16:07:00,"Citizen Behaviour - De-escalation (e.g., apology, reassurance)",[REDACTED]
79,6,16:25:00,Maladaptive - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
80,6,17:16:00,PJT - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
81,6,17:31:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
82,6,18:38:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
83,6,21:57:00,Participation - Answers questions or explains request rejections,[REDACTED]
84,6,21:58:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
85,6,21:59:00,Trustworthy Motives - Shows empathy / concern,[REDACTED]
86,6,22:12:00,Maladaptive - Patronising / parental / rescuing,[REDACTED]
1,7,06:47:00,Procedural Adherence - Necessary - verbal warning before force (unless immediate threat),[REDACTED]
2,7,07:00:00,Procedural Adherence - Necessary - verbal warning before force (unless immediate threat),[REDACTED]
3,7,07:30:00,Maladaptive - Sarcastic / punitive / attacking,[REDACTED]
4,7,07:33:00,Maladaptive - Sarcastic / punitive / attacking,[REDACTED]
5,7,07:50:00,Citizen Behaviour - Non-compliant (physical),[REDACTED]
6,7,07:56:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
7,7,08:03:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
8,7,08:33:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
9,7,08:33:00,Citizen Behaviour - Cooperative,[REDACTED]
1,8,08:54:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
2,8,08:55:00,Procedural Adherence - Proportionality - force level matches citizen resistance,[REDACTED]
3,8,08:55:00,Citizen Behaviour - Cooperative ,[REDACTED]
4,8,08:56:00,Citizen Behaviour - Handcuffs used,[REDACTED]
5,8,08:57:00,Procedural Adherence - Necessary - verbal warning before force (unless immediate threat) ,[REDACTED]
6,8,08:58:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
7,8,09:05:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language)",[REDACTED]
